NAME_CHN,adcode,citycode
宜昌市,"420500","0717"
成都市,"510100","028"
黔东南苗族侗族自治州,"522600","0855"
黄石市,"420200","0714"
枣庄市,"370400","0632"
南通市,"320600","0513"
宁波市,"330200","0574"
迪庆藏族自治州,"533400","0887"
苏州市,"320500","0512"
遂宁市,"510900","0825"
益阳市,"430900","0737"
揭阳市,"445200","0663"
绵阳市,"510700","0816"
喀什地区,"653100","0998"
朔州市,"140600","0349"
拉萨市,"540100","0891"
营口市,"210800","0417"
临高县,"469024","1896"
南平市,"350700","0599"
凉山彝族自治州,"513400","0834"
三明市,"350400","0598"
本溪市,"210500","0414"
仙桃市,"429004","0728"
通化市,"220500","0435"
西宁市,"630100","0971"
孝感市,"420900","0712"
普洱市,"530800","0879"
长治市,"140400","0355"
澳门特别行政区,"820000","1853"
承德市,"130800","0314"
惠州市,"441300","0752"
黄冈市,"421100","0713"
廊坊市,"131000","0316"
威海市,"371000","0631"
攀枝花市,"510400","0812"
舟山市,"330900","0580"
沧州市,"130900","0317"
江门市,"440700","0750"
开封市,"410200","0378"
北屯市,"659005","1906"
定西市,"621100","0932"
白沙黎族自治县,"469025","0802"
毕节市,"520500","0857"
焦作市,"410800","0391"
亳州市,"341600","0558"
梧州市,"450400","0774"
张家口市,"130700","0313"
福州市,"350100","0591"
北京市,"110000","010"
阿拉善盟,"152900","0483"
金昌市,"620300","0935"
怒江傈僳族自治州,"533300","0886"
保山市,"530500","0875"
武威市,"620600","1935"
安顺市,"520400","0853"
汕尾市,"441500","0660"
吴忠市,"640300","0953"
陇南市,"621200","2935"
恩施土家族苗族自治州,"422800","0718"
葫芦岛市,"211400","0429"
大理白族自治州,"532900","0872"
安康市,"610900","0915"
呼和浩特市,"150100","0471"
曲靖市,"530300","0874"
榆林市,"610800","0912"
阿勒泰地区,"654300","0906"
伊犁哈萨克自治州,"654000","0999"
香港特别行政区,"810000","1852"
松原市,"220700","0438"
怀化市,"431200","0745"
和田地区,"653200","0903"
吕梁市,"141100","0358"
萍乡市,"360300","0799"
沈阳市,"210100","024"
阿里地区,"542500","0897"
赣州市,"360700","0797"
三沙市,"460300","2898"
清远市,"441800","0763"
铜川市,"610200","0919"
吐鲁番市,"650400","0995"
泸州市,"510500","0830"
邵阳市,"430500","0739"
果洛藏族自治州,"632600","0975"
秦皇岛市,"130300","0335"
台湾省,"710000","1886"
抚顺市,"210400","0413"
哈密市,"650500","0902"
乌鲁木齐市,"650100","0991"
池州市,"341700","0566"
日喀则市,"540200","0892"
茂名市,"440900","0668"
阿拉尔市,"659002","1997"
东沙群岛,"442100",
琼中黎族苗族自治县,"469030","1899"
南充市,"511300","0817"
洛阳市,"410300","0379"
屯昌县,"469022","1892"
潮州市,"445100","0768"
